"threat_ruleType","rule_id","rule_name","mapping_id","mapping_name"
"direct","MATCH-S00402","Normalized Security Signal","2876b2f3-6e68-48bd-82e5-24f142e3c749","AWS GuardDuty Alerts from Sumo CIP"
"direct","MATCH-S00402","Normalized Security Signal","ef75d78a-0113-4855-a5c7-cf7075f13da7","AWS Security Hub"
"direct","MATCH-S00402","Normalized Security Signal","42710bf7-5cb5-4964-b063-b00e7b2f3048","AWSGuardDuty - Audit Events"
"direct","MATCH-S00402","Normalized Security Signal","499c828d-ee7e-420c-8369-d46ed029a074","AWSGuardDuty - Reconnaissance and malicious activity detection"
"direct","MATCH-S00402","Normalized Security Signal","71a4e74c-d8b7-4148-b755-5298f5e1b49e","AWSGuardDuty - Tor Client and Relay"
"direct","MATCH-S00402","Normalized Security Signal","e0a19ce7-0934-4a8c-a714-0d8efab68bdf","AWSGuardDuty - UnauthorizedAccess_EC2_TorIPCaller"
"direct","MATCH-S00402","Normalized Security Signal","695864F3-EC9E-4187-8783-D55172C17CB0","AWSGuardDuty_Backdoor (Sumo Logic)"
"direct","MATCH-S00402","Normalized Security Signal","891BA48F-5E54-424C-933A-BAD8568A9635","AWSGuardDuty_Behavior (Sumo Logic)"
"direct","MATCH-S00402","Normalized Security Signal","3f3c35bf-e896-4c34-961e-6868224c0f69","AWSGuardDuty_Catch_All"
"direct","MATCH-S00402","Normalized Security Signal","F5B00BE8-0714-4378-810C-F1712BDCC21E","AWSGuardDuty_CryptoCurrency (Sumo Logic)"
"direct","MATCH-S00402","Normalized Security Signal","BC42D41D-F390-4527-B8BF-05B6D10F2A99","AWSGuardDuty_PenTest (Sumo Logic)"
"direct","MATCH-S00402","Normalized Security Signal","E1B8B90C-1A2A-4502-AB0D-E65B122DE9EE","AWSGuardDuty_Persistence (Sumo Logic)"
"direct","MATCH-S00402","Normalized Security Signal","A013DA01-CB60-4139-A61C-37961816D7A3","AWSGuardDuty_Policy (Sumo Logic)"
"direct","MATCH-S00402","Normalized Security Signal","86DC4C25-87C5-4EEA-A6EB-F70CB3FAF99D","AWSGuardDuty_ResourceConsumption (Sumo Logic)"
"direct","MATCH-S00402","Normalized Security Signal","F1186D3C-AE14-4375-B663-3A1C75044E13","AWSGuardDuty_Stealth (Sumo Logic)"
"direct","MATCH-S00402","Normalized Security Signal","8F8B7A14-2D1A-4584-822B-8360CF176D08","AWSGuardDuty_Trojan (Sumo Logic)"
"direct","MATCH-S00402","Normalized Security Signal","cca91bd6-c001-4bcb-bb98-2f15ece96bcc","Alert"
"direct","MATCH-S00402","Normalized Security Signal","1887d1cc-3fdc-481d-8da0-1ee18d6ce863","AlphaSOC"
"direct","MATCH-S00402","Normalized Security Signal","fa7a7c72-d746-43d2-976c-64066fc2381d","Aqua Access Control"
"direct","MATCH-S00402","Normalized Security Signal","a4fbc8a4-ef01-4c01-b336-67923aa94e1a","Aqua Runtime Policy Match"
"direct","MATCH-S00402","Normalized Security Signal","ed3eda48-9b64-41f2-8793-4b9776d3e377","Azure Event Hub - Windows Defender Logs - DeviceAlertEvents"
"direct","MATCH-S00402","Normalized Security Signal","14dd00c2-3b72-4269-a7a0-8f698834a867","Azure Risky Users"
"direct","MATCH-S00402","Normalized Security Signal","379364a9-1ef1-4546-bbf6-4065b2d781e8","Azure User Risk Events"
"direct","MATCH-S00402","Normalized Security Signal","75afe8f9-63d1-4c2c-ad65-f0b3231a0c9b","Bitdefender - avc"
"direct","MATCH-S00402","Normalized Security Signal","217675d0-ca6c-4f18-9abb-e160a5360d34","Bitdefender - fw"
"direct","MATCH-S00402","Normalized Security Signal","a7215602-242d-404a-bd8d-38bfc443eb88","Bitdefender - network-monitor"
"direct","MATCH-S00402","Normalized Security Signal","909795be-9f91-4846-9ec6-1fb61efbce10","Box - SHIELD_ALERT"
"direct","MATCH-S00402","Normalized Security Signal","3c28aea7-ad49-4215-a8c3-abff718499b4","Carbon Black C2C Alert - DEVICE_CONTROL"
"direct","MATCH-S00402","Normalized Security Signal","81112448-48b5-4799-bc6e-a712a87ca34c","Carbon Black Cloud - FACET"
"direct","MATCH-S00402","Normalized Security Signal","020bc223-86b6-4b9b-9c39-4864eed1510b","Carbon Black Cloud Alert - Tuned Activity"
